Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2023-08-23 06:59,2023-08-23 07:36,00:36:43,352.01,277.31,152,129.59,,,488,0.221,,,,,
Traditional Strength Training,2023-08-02 07:56,2023-08-02 08:25,00:29:37,290.37,219.79,156,122.5,,,392,0.22,,,,,
Traditional Strength Training,2023-08-01 07:59,2023-08-01 08:44,00:44:56,452.83,361.88,156,127.91,,,521,0.193,,,,,
Walking,2023-07-27 14:01,2023-07-27 14:34,00:32:43,260.05,209.35,139,123.46,1.27,2.33,2876,1.46,,,,,
Traditional Strength Training,2023-07-27 13:35,2023-07-27 14:01,00:25:44,136.83,97.92,121,91.21,,,132,0.085,,,,,
Walking,2023-07-26 11:14,2023-07-26 11:37,00:23:04,250.37,193.22,136,127.29,0.819,2.13,1287,0.93,,,,,
Traditional Strength Training,2023-07-26 10:47,2023-07-26 11:13,00:26:45,172.99,132.13,149,111.13,,,1339,0.834,,,,,
Traditional Strength Training,2023-07-25 14:45,2023-07-25 15:52,01:05:15,474.12,355.91,152,106.54,,,309,0.079,,,,,
Traditional Strength Training,2023-07-24 16:19,2023-07-24 17:20,00:55:19,385.88,275.18,140,102.1,,,474,0.143,,,,,
Traditional Strength Training,2023-07-23 20:21,2023-07-23 20:39,00:18:11,121.36,71.73,126,96.98,,,156,0.143,,,,,
Traditional Strength Training,2023-07-19 15:51,2023-07-19 16:54,01:03:18,366.4,251.71,130,93.33,,,483,0.127,,,,,
Traditional Strength Training,2023-07-18 16:25,2023-07-18 17:30,00:51:23,350.54,241.4,151,100.82,,,430,0.139,,,,,
Walking,2023-07-18 11:06,2023-07-18 11:44,00:38:30,170.68,111.66,107,84.62,1.68,2.62,3436,1.49,,,1.0,20.87,
Traditional Strength Training,2023-07-17 14:40,2023-07-17 16:08,01:10:22,426.94,279.12,130,94.51,,,580,0.137,,,,,
